anio	trimestre	aglomerado_origen	localidad_destino	viajantes	geometry
2012	1	Concordia	Avellaneda	614	c(-58.3628061, -34.6648394)
2012	1	Concordia	Cañuelas	4857	c(-58.7617379, -35.0540248)
2012	1	Concordia	Ciudad de Buenos Aires	11576	c(-58.4370894, -34.6075682)
2012	1	Concordia	Colón	9800	c(-58.1356171, -32.2182804)
2012	1	Concordia	Concordia	30948	c(-58.0173305, -31.3972539)
2012	1	Concordia	Concordia	30948	c(-58.0173305, -31.3972539)
2012	1	Concordia	Curuzú Cuatiá	1784	c(-58.0498307, -29.7913375)
2012	1	Concordia	Federación	4511	c(-57.9194395, -30.9856574)
2012	1	Concordia	Fiambalá	1228	c(-67.6189804, -27.6921885)
2012	1	Concordia	General Campos	890	c(-58.405795, -31.5233816)
2012	1	Concordia	Jardín América	594	c(-55.2271966, -27.0430577)
2012	1	Concordia	La Plata	1186	c(-57.9537638, -34.9206797)
2012	1	Concordia	Paraná	1186	c(-60.5298511, -31.7330145)
2012	1	Concordia	Paraná	1186	c(-60.5298511, -31.7330145)
2012	1	Concordia	Pinamar	2372	c(-56.8539007, -37.1099492)
2012	1	Concordia	Puerto Yeruá	14940	c(-58.0143686, -31.533997)
2012	1	Concordia	Santa Fe	9218	c(-60.7019561, -31.6186951)
2012	1	Paraná	Aldea Valle María	39682	c(-60.5882194, -31.990497)
2012	1	Paraná	Cerrito	2628	c(-60.0758114, -31.5804369)
2012	1	Paraná	Ciudad de Buenos Aires	2483	c(-58.4370894, -34.6075682)
2012	1	Paraná	Colón	29739	c(-58.1356171, -32.2182804)
2012	1	Paraná	Concordia	1314	c(-58.0173305, -31.3972539)
2012	1	Paraná	Concordia	1314	c(-58.0173305, -31.3972539)
2012	1	Paraná	Crespo	670	c(-60.3062469, -32.0307826)
2012	1	Paraná	Diamante	1995	c(-60.6426494, -32.0670391)
2012	1	Paraná	Don Torcuato	1971	c(-58.6266492, -34.4886587)
2012	1	Paraná	Esquel	1971	c(-71.3132832247329, -42.91337825)
2012	1	Paraná	Federal	6030	c(-58.7797943, -30.9558743)
2012	1	Paraná	Guadalupe Norte	1971	c(-59.5625112, -28.939216)
2012	1	Paraná	Gualeguaychú	6552	c(-58.5103466, -33.0078585)
2012	1	Paraná	Hasenkamp	1971	c(-59.8353304, -31.5120876)
2012	1	Paraná	La Picada	36819	c(-60.2966741, -31.7256604)
2012	1	Paraná	Las Flores	19446	c(-59.0998685, -36.0142754)
2012	1	Paraná	Mar de Ajó	670	c(-56.6776091, -36.7212921)
2012	1	Paraná	Mar del Plata	8364	c(-57.5482703, -37.9977225)
2012	1	Paraná	María Grande	1314	c(-59.9021724, -31.6647722)
2012	1	Paraná	Merlo	1971	c(-65.0136903, -32.342558)
2012	1	Paraná	Merlo	1971	c(-58.7321695, -34.6604988)
2012	1	Paraná	Oliveros	1314	c(-60.85222, -32.5764738)
2012	1	Paraná	Paraná	17424	c(-60.5298511, -31.7330145)
2012	1	Paraná	Paraná	17424	c(-60.5298511, -31.7330145)
2012	1	Paraná	Piedras Blancas	3328	c(-59.9011493185457, -31.1908228)
2012	1	Paraná	Pueblo Brugo	832	c(-60.0918469, -31.3874682)
2012	1	Paraná	Rosario	5703	c(-60.6615415, -32.9595004)
2012	1	Paraná	San Carlos de Bariloche	17424	c(-71.3098425, -41.1334421)
2012	1	Paraná	San Miguel	1354	c(-58.7157491, -34.540349)
2012	1	Paraná	San Miguel	1354	c(-66.0957168, -29.6294111)
2012	1	Paraná	San Nicolás de los Arroyos	6489	c(-60.2165909, -33.3277089)
2012	1	Paraná	Santa Elena	35160	c(-59.7844127, -30.9478684)
2012	1	Paraná	Santa Fe	31093	c(-60.7019561, -31.6186951)
2012	1	Paraná	Victoria	13953	c(-60.1576895, -32.6217981)
2012	1	Paraná	Victoria	13953	c(-58.5407091, -34.4541012)
2012	1	Paraná	Villa Carlos Paz	1971	c(-64.4936985, -31.4183774)
2012	1	Paraná	Villa Urquiza	50462	c(-60.3770589, -31.6494738)
2012	1	Paraná	Villaguay	25455	c(-59.0270174, -31.8676271)
2012	2	Concordia	Chajarí	5502	c(-57.9848989, -30.7565741)
2012	2	Concordia	Chapadmalal	8000	c(-57.6802111, -38.1944082)
2012	2	Concordia	Ciudad de Buenos Aires	431	c(-58.4370894, -34.6075682)
2012	2	Concordia	Curuzú Cuatiá	4616	c(-58.0498307, -29.7913375)
2012	2	Concordia	Córdoba	1844	c(-64.1834193, -31.4166867)
2012	2	Concordia	Federación	4083	c(-57.9194395, -30.9856574)
2012	2	Concordia	Federal	4644	c(-58.7797943, -30.9558743)
2012	2	Concordia	Paraná	21008	c(-60.5298511, -31.7330145)
2012	2	Concordia	Paraná	21008	c(-60.5298511, -31.7330145)
2012	2	Concordia	Pilar	433	c(-58.9141609, -34.4570918)
