anio	trimestre	aglomerado_origen	localidad_destino	viajantes
2012	1	Concordia	Avellaneda	614
2012	1	Concordia	Cañuelas	4857
2012	1	Concordia	Ciudad de Buenos Aires	11576
2012	1	Concordia	Colón	9800
2012	1	Concordia	Concordia	30948
2012	1	Concordia	Curuzú Cuatiá	1784
2012	1	Concordia	Federación	4511
2012	1	Concordia	Fiambalá	1228
2012	1	Concordia	General Campos	890
2012	1	Concordia	Jardín América	594
2012	1	Concordia	La Plata	1186
2012	1	Concordia	Paraná	1186
2012	1	Concordia	Pinamar	2372
2012	1	Concordia	Puerto Yeruá	14940
2012	1	Concordia	Santa Fe	9218
2012	1	Paraná	Aldea Valle María	39682
2012	1	Paraná	Cerrito	2628
2012	1	Paraná	Ciudad de Buenos Aires	2483
2012	1	Paraná	Colón	29739
2012	1	Paraná	Concordia	1314
2012	1	Paraná	Crespo	670
2012	1	Paraná	Diamante	1995
2012	1	Paraná	Don Torcuato	1971
2012	1	Paraná	Esquel	1971
2012	1	Paraná	Federal	6030
2012	1	Paraná	Guadalupe Norte	1971
2012	1	Paraná	Gualeguaychú	6552
2012	1	Paraná	Hasenkamp	1971
2012	1	Paraná	La Picada	36819
2012	1	Paraná	Las Flores	19446
2012	1	Paraná	Mar de Ajó	670
2012	1	Paraná	Mar del Plata	8364
2012	1	Paraná	María Grande	1314
2012	1	Paraná	Merlo	1971
2012	1	Paraná	Oliveros	1314
2012	1	Paraná	Paraná	17424
2012	1	Paraná	Piedras Blancas	3328
2012	1	Paraná	Pueblo Brugo	832
2012	1	Paraná	Rosario	5703
2012	1	Paraná	San Carlos de Bariloche	17424
2012	1	Paraná	San Miguel	1354
2012	1	Paraná	San Nicolás de los Arroyos	6489
2012	1	Paraná	Santa Elena	35160
2012	1	Paraná	Santa Fe	31093
2012	1	Paraná	Victoria	13953
2012	1	Paraná	Villa Carlos Paz	1971
2012	1	Paraná	Villa Urquiza	50462
2012	1	Paraná	Villaguay	25455
2012	2	Concordia	Chajarí	5502
2012	2	Concordia	Chapadmalal	8000
2012	2	Concordia	Ciudad de Buenos Aires	431
2012	2	Concordia	Curuzú Cuatiá	4616
2012	2	Concordia	Córdoba	1844
2012	2	Concordia	Federación	4083
2012	2	Concordia	Federal	4644
2012	2	Concordia	Paraná	21008
2012	2	Concordia	Pilar	433
2012	2	Concordia	Puerto Iguazú	433
2012	2	Concordia	Puerto Yeruá	35744
2012	2	Concordia	Rosario	5364
2012	2	Concordia	Río Gallegos	862
2012	2	Concordia	San Antonio de Areco	1305
2012	2	Concordia	San Rafael (Ciudad)	910
2012	2	Concordia	Santa Ana	6258
2012	2	Concordia	Santa Fe	901
2012	2	Concordia	Villa Carlos Paz	1792
2012	2	Paraná	25 de Mayo	7960
2012	2	Paraná	Alta Gracia	1028
2012	2	Paraná	Berazategui	3884
2012	2	Paraná	Ciudad de Buenos Aires	6947
2012	2	Paraná	Colón	1882
2012	2	Paraná	Concepción del Uruguay	11524
2012	2	Paraná	Concordia	4848
2012	2	Paraná	Diamante	10300
2012	2	Paraná	General Ramírez	22421
2012	2	Paraná	Gualeguay	1882
2012	2	Paraná	La Paz	3104
2012	2	Paraná	Las Flores	3692
2012	2	Paraná	Libertador San Martín	968
2012	2	Paraná	Mar del Plata	8686
2012	2	Paraná	Puerto Iguazú	2064
2012	2	Paraná	Puíggari	2012
2012	2	Paraná	Rosario	10730
2012	2	Paraná	Rosario del Tala	1017
2012	2	Paraná	Salta	10228
2012	2	Paraná	San Benito	15690
2012	2	Paraná	San Carlos de Bariloche	2290
2012	2	Paraná	San Clemente del Tuyú	916
2012	2	Paraná	San José de Feliciano	916
